pair_leg_1,pair_leg_2,leg1_game_pk,leg2_game_pk,pair_type,leg1_prob,leg2_prob,base_combo_prob,learned_multiplier,combo_prob,leg1_odds_american,leg2_odds_american,parlay_decimal,parlay_ev,training_days_used
Dillon Dingler,Zach Neto,824650,824004,cross_game,0.1969414256652618,0.14025421709757693,0.02762186547076194,0.48999999999999994,0.013534714080673348,,,,,1
Junior Caminero,Max Muncy,822784,825055,cross_game,0.18354189987352365,0.15008930242611201,0.02754767571798046,0.48999999999999994,0.013498361101810423,,,,,1
Wilyer Abreu,Christian Encarnacion-Strand,824735,824732,cross_game,0.16575608240934592,0.16565780602458946,0.02745878894716329,0.48999999999999994,0.01345480658411001,,,,,1
Kyle Schwarber,Amed Rosario,823438,823518,cross_game,0.16927974674858862,0.16196954244956968,0.02741816312684793,0.48999999999999994,0.013434899932155485,,,,,1
Wilyer Abreu,Jazz Chisholm Jr.,824735,823518,cross_game,0.16575608240934592,0.1652568983272693,0.02739233605784775,0.48999999999999994,0.013422244668345396,,,,,1
Christian Encarnacion-Strand,Jazz Chisholm Jr.,824732,823518,cross_game,0.16565780602458946,0.1652568983272693,0.02737609520732408,0.48999999999999994,0.013414286651588798,,,,,1
Victor Mesa Jr.,Heriberto Hernández,822784,824166,cross_game,0.17618068742880014,0.15501281799454286,0.02731026483455404,0.48999999999999994,0.013382029768931478,,,,,1
Victor Mesa Jr.,Esmerlyn Valdez,822784,823519,cross_game,0.17618068742880014,0.15481230918638839,0.027274939054897855,0.48999999999999994,0.013364720136899948,,,,,1
Kyle Schwarber,Tyrone Taylor,823438,823761,cross_game,0.16927974674858862,0.16103849128821884,0.02726055502204448,0.48999999999999994,0.013357671960801794,,,,,1
Junior Caminero,Willy Adames,822784,824083,cross_game,0.18354189987352365,0.14811196456769748,0.027184751370755215,0.48999999999999994,0.013320528171670053,,,,,1
Victor Mesa Jr.,Luis Urías,822784,822784,same_game,0.17618068742880014,0.15401329946383535,0.027134168972716168,0.48999999999999994,0.01329574279663092,,,,,1
Junior Caminero,Bryan Reynolds,822784,823518,cross_game,0.18354189987352365,0.14768728583281263,0.027106805028918563,0.48999999999999994,0.013282334464170095,,,,,1
Junior Caminero,Ryan O'Hearn,822784,823518,cross_game,0.18354189987352365,0.1472457223114708,0.02702575962129664,0.48999999999999994,0.013242622214435352,,,,,1
Hunter Goodman,Heriberto Hernández,824327,824166,cross_game,0.1739225091478534,0.15501281799454286,0.026960218255690414,0.48999999999999994,0.013210506945288301,,,,,1
Rafael Flores Jr.,Heriberto Hernández,823518,824166,cross_game,0.17380423552442342,0.15501281799454286,0.026941884328028107,0.48999999999999994,0.013201523320733771,,,,,1
Hunter Goodman,Esmerlyn Valdez,824327,823519,cross_game,0.1739225091478534,0.15481230918638839,0.026925345260669944,0.48999999999999994,0.013193419177728271,,,,,1
Rafael Flores Jr.,Esmerlyn Valdez,823518,823519,cross_game,0.17380423552442342,0.15481230918638839,0.026907035047910907,0.48999999999999994,0.013184447173476343,,,,,1
Junior Caminero,Jose Siri,822784,824004,cross_game,0.18354189987352365,0.14643987136076042,0.026877852206788372,0.48999999999999994,0.0131701475813263,,,,,1
Wilyer Abreu,Amed Rosario,824735,823518,cross_game,0.16575608240934592,0.16196954244956968,0.026847436826074923,0.48999999999999994,0.01315524404477671,,,,,1
Christian Encarnacion-Strand,Amed Rosario,824732,823518,cross_game,0.16565780602458946,0.16196954244956968,0.026831519045002323,0.48999999999999994,0.013147444332051136,,,,,1
Hunter Goodman,Luis Urías,824327,822784,cross_game,0.1739225091478534,0.15401329946383535,0.02678637948488999,0.48999999999999994,0.013125325947596092,,,,,1
Rafael Flores Jr.,Luis Urías,823518,822784,cross_game,0.17380423552442342,0.15401329946383535,0.026768163773905996,0.48999999999999994,0.013116400249213936,,,,,1
Jazz Chisholm Jr.,Amed Rosario,823518,823518,same_game,0.1652568983272693,0.16196954244956968,0.026766584208702867,0.48999999999999994,0.013115626262264403,,,,,1
Victor Mesa Jr.,Colton Cowser,822784,824732,cross_game,0.17618068742880014,0.15184330501299864,0.026751857858651074,0.48999999999999994,0.013108410350739026,,,,,1
Victor Mesa Jr.,Justin Foscue,822784,822873,cross_game,0.17618068742880014,0.15184220764508086,0.026751664523616957,0.48999999999999994,0.013108315616572308,,,,,1
Wilyer Abreu,Tyrone Taylor,824735,823761,cross_game,0.16575608240934592,0.16103849128821884,0.026693109433046737,0.48999999999999994,0.0130796236221929,,,,,1
Christian Encarnacion-Strand,Tyrone Taylor,824732,823761,cross_game,0.16565780602458946,0.16103849128821884,0.026677283152316298,0.48999999999999994,0.013071868744634984,,,,,1
Junior Caminero,Cedric Mullins,822784,822784,same_game,0.18354189987352365,0.14518724945137915,0.026647943601717333,0.48999999999999994,0.01305749236484149,,,,,1
Jazz Chisholm Jr.,Tyrone Taylor,823518,823761,cross_game,0.1652568983272693,0.16103849128821884,0.026612721581594025,0.48999999999999994,0.013040233574981071,,,,,1
Junior Caminero,Bryce Eldridge,822784,824083,cross_game,0.18354189987352365,0.14489335385640023,0.026594001445850442,0.48999999999999994,0.013031060708466715,,,,,1
Junior Caminero,Riley Greene,822784,824650,cross_game,0.18354189987352365,0.14473875770017736,0.026565626573624154,0.48999999999999994,0.013017157021075833,,,,,1
Victor Mesa Jr.,Max Muncy,822784,825055,cross_game,0.17618068742880014,0.15008930242611201,0.026442836477141494,0.48999999999999994,0.01295698987379933,,,,,1
Hunter Goodman,Colton Cowser,824327,824732,cross_game,0.1739225091478534,0.15184330501299864,0.02640896860516355,0.48999999999999994,0.012940394616530137,,,,,1
Hunter Goodman,Justin Foscue,824327,822873,cross_game,0.1739225091478534,0.15184220764508086,0.02640877774818183,0.48999999999999994,0.012940301096609095,,,,,1
Rafael Flores Jr.,Colton Cowser,823518,824732,cross_game,0.17380423552442342,0.15184330501299864,0.02639100954728608,0.48999999999999994,0.012931594678170177,,,,,1
Rafael Flores Jr.,Justin Foscue,823518,822873,cross_game,0.17380423552442342,0.15184220764508086,0.02639081882009404,0.48999999999999994,0.012931501221846078,,,,,1
Junior Caminero,Dominic Canzone,822784,823110,cross_game,0.18354189987352365,0.1432386587391052,0.02629029556031067,0.48999999999999994,0.012882244824552228,,,,,1
Kyle Schwarber,Heriberto Hernández,823438,824166,cross_game,0.16927974674858862,0.15501281799454286,0.026240530572901277,0.48999999999999994,0.012857859980721623,,,,,1
Junior Caminero,Willson Contreras,822784,824732,cross_game,0.18354189987352365,0.14292622600371158,0.026232951062473843,0.48999999999999994,0.01285414602061218,,,,,1
Kyle Schwarber,Esmerlyn Valdez,823438,823519,cross_game,0.16927974674858862,0.15481230918638839,0.026206588492636025,0.48999999999999994,0.01284122836139165,,,,,1
Hunter Goodman,Max Muncy,824327,825055,cross_game,0.1739225091478534,0.15008930242611201,0.0261039080742004,0.48999999999999994,0.012790914956358194,,,,,1
Victor Mesa Jr.,Willy Adames,822784,824083,cross_game,0.17618068742880014,0.14811196456769748,0.026094467733967033,0.48999999999999994,0.012786289189643845,,,,,1
Rafael Flores Jr.,Max Muncy,823518,825055,cross_game,0.17380423552442342,0.15008930242611201,0.026086156468564388,0.48999999999999994,0.012782216669596549,,,,,1
Amed Rosario,Tyrone Taylor,823518,823761,cross_game,0.16196954244956968,0.16103849128821884,0.02608333075072182,0.48999999999999994,0.01278083206785369,,,,,1
Kyle Schwarber,Luis Urías,823438,822784,cross_game,0.16927974674858862,0.15401329946383535,0.026071332329152586,0.48999999999999994,0.012774952841284765,,,,,1
Junior Caminero,Manny Machado,822784,824896,cross_game,0.18354189987352365,0.14196672215805994,0.02605684190370699,0.48999999999999994,0.012767852532816423,,,,,1
Victor Mesa Jr.,Bryan Reynolds,822784,823518,cross_game,0.17618068742880014,0.14768728583281263,0.026019647542518624,0.48999999999999994,0.012749627295834124,,,,,1
Junior Caminero,Ryan McMahon,822784,823518,cross_game,0.18354189987352365,0.14147523142463925,0.025966632760724723,0.48999999999999994,0.012723650052755112,,,,,1
Junior Caminero,Spencer Torkelson,822784,824650,cross_game,0.18354189987352365,0.14142422152515674,0.025957270306861346,0.48999999999999994,0.012719062450362058,,,,,1
Victor Mesa Jr.,Ryan O'Hearn,822784,823518,cross_game,0.17618068742880014,0.1472457223114708,0.025941852577785137,0.48999999999999994,0.012711507763114716,,,,,1
Victor Mesa Jr.,Jose Siri,822784,824004,cross_game,0.17618068742880014,0.14643987136076042,0.025799877203323832,0.48999999999999994,0.012641939829628676,,,,,1
Hunter Goodman,Willy Adames,824327,824083,cross_game,0.1739225091478534,0.14811196456769748,0.025760004512431905,0.48999999999999994,0.012622402211091632,,,,,1
Junior Caminero,Zach Neto,822784,824004,cross_game,0.18354189987352365,0.14025421709757693,0.025742525471362913,0.48999999999999994,0.012613837480967826,,,,,1
Rafael Flores Jr.,Willy Adames,823518,824083,cross_game,0.17380423552442342,0.14811196456769748,0.02574248677370915,0.48999999999999994,0.012613818519117482,,,,,1
Kyle Schwarber,Colton Cowser,823438,824732,cross_game,0.16927974674858862,0.15184330501299864,0.025703996218069108,0.48999999999999994,0.01259495814685386,,,,,1
Kyle Schwarber,Justin Foscue,823438,822873,cross_game,0.16927974674858862,0.15184220764508086,0.025703810455905893,0.48999999999999994,0.012594867123393886,,,,,1
Wilyer Abreu,Heriberto Hernández,824735,824166,cross_game,0.16575608240934592,0.15501281799454286,0.025694317434008386,0.48999999999999994,0.012590215542664108,,,,,1
Hunter Goodman,Bryan Reynolds,824327,823518,cross_game,0.1739225091478534,0.14768728583281263,0.025686143321278995,0.48999999999999994,0.012586210227426706,,,,,1
Christian Encarnacion-Strand,Heriberto Hernández,824732,824166,cross_game,0.16565780602458946,0.15501281799454286,0.02567908333466497,0.48999999999999994,0.012582750833985834,,,,,1
Rafael Flores Jr.,Bryan Reynolds,823518,823518,same_game,0.17380423552442342,0.14768728583281263,0.025668675810849008,0.48999999999999994,0.012577651147316012,,,,,1
Wilyer Abreu,Esmerlyn Valdez,824735,823519,cross_game,0.16575608240934592,0.15481230918638839,0.025661081879480133,0.48999999999999994,0.012573930120945263,,,,,1
Christian Encarnacion-Strand,Esmerlyn Valdez,824732,823519,cross_game,0.16565780602458946,0.15481230918638839,0.025645867485417497,0.48999999999999994,0.012566475067854571,,,,,1
Jazz Chisholm Jr.,Heriberto Hernández,823518,824166,cross_game,0.1652568983272693,0.15501281799454286,0.025616937502747673,0.48999999999999994,0.012552299376346358,,,,,1
Hunter Goodman,Ryan O'Hearn,824327,823518,cross_game,0.1739225091478534,0.1472457223114708,0.02560934548569906,0.48999999999999994,0.012548579287992537,,,,,1
Rafael Flores Jr.,Ryan O'Hearn,823518,823518,same_game,0.17380423552442342,0.1472457223114708,0.025591930200586716,0.48999999999999994,0.01254004579828749,,,,,1
Jazz Chisholm Jr.,Esmerlyn Valdez,823518,823519,cross_game,0.1652568983272693,0.15481230918638839,0.025583802039024765,0.48999999999999994,0.012536062999122133,,,,,1
Victor Mesa Jr.,Cedric Mullins,822784,822784,same_game,0.17618068742880014,0.14518724945137915,0.025579189414240665,0.48999999999999994,0.012533802812977925,,,,,1
Wilyer Abreu,Luis Urías,824735,822784,cross_game,0.16575608240934592,0.15401329946383535,0.025528641158062765,0.48999999999999994,0.012509034167450753,,,,,1
Victor Mesa Jr.,Bryce Eldridge,822784,824083,cross_game,0.17618068742880014,0.14489335385640023,0.02552741068628498,0.48999999999999994,0.012508431236279639,,,,,1
Christian Encarnacion-Strand,Luis Urías,824732,822784,cross_game,0.16565780602458946,0.15401329946383535,0.025513505287787043,0.48999999999999994,0.01250161759101565,,,,,1
Victor Mesa Jr.,Riley Greene,822784,824650,cross_game,0.17618068742880014,0.14473875770017736,0.025500173829207787,0.48999999999999994,0.012495085176311814,,,,,1
Hunter Goodman,Jose Siri,824327,824004,cross_game,0.1739225091478534,0.14643987136076042,0.02546918986635233,0.48999999999999994,0.01247990303451264,,,,,1
Rafael Flores Jr.,Jose Siri,823518,824004,cross_game,0.17380423552442342,0.14643987136076042,0.02545186989215187,0.48999999999999994,0.012471416247154416,,,,,1
Jazz Chisholm Jr.,Luis Urías,823518,822784,cross_game,0.1652568983272693,0.15401329946383535,0.02545176017054232,0.48999999999999994,0.012471362483565736,,,,,1
Kyle Schwarber,Max Muncy,823438,825055,cross_game,0.16927974674858862,0.15008930242611201,0.025407079104364568,0.48999999999999994,0.012449468761138636,,,,,1
Hunter Goodman,Cedric Mullins,824327,822784,cross_game,0.1739225091478534,0.14518724945137915,0.025251330720859163,0.48999999999999994,0.012373152053220988,,,,,1
Victor Mesa Jr.,Dominic Canzone,822784,823110,cross_game,0.17618068742880014,0.1432386587391052,0.025235885363034866,0.48999999999999994,0.012365583827887083,,,,,1
Rafael Flores Jr.,Cedric Mullins,823518,822784,cross_game,0.17380423552442342,0.14518724945137915,0.025234158898790715,0.48999999999999994,0.012364737860407449,,,,,1
Hunter Goodman,Bryce Eldridge,824327,824083,cross_game,0.1739225091478534,0.14489335385640023,0.02520021566155293,0.48999999999999994,0.012348105674160934,,,,,1
